,cluster
Need to be more transparent on policies,36
Your financial growth will be totally depends on your relationship with your leads who are working in xpanxion for more than 10+ years.,24
not think of any right now,1
People speak in Marathi most of the time. Some people are really mean Too much work,10
- Package revision is very less even if you work very hard all the time - Many employees are allocated in multiple projects and asked to contribute more than their capacity - Some employees don't get enough recognition while some set of employees receive ,17
No job security. If you are bench for long time. you may be asked to leave,10
Recruitment team - not responsibe,14
There is always a scope of improvement but no cons as such.,8
Nothing As of now.Everything is good for me.,1
No cons all things looks good.,22
Less Projects and Onsite opportunity,0
"Not a big giant company, less onsite opportunities",0
management needs to be improved.,36
From last few years Management started thinking in different direction which leads irregular and less increments.,28
No COns as of now. Can add canteen,22
onsite opportunities are not that much,0
Quite an open environment. You can walk up to anyone for your queries,26
Small scale company otherwise no cons as such,22
Nothing i can think of,1
No cons according to me.,22
"Multi-location means you'll have to ask the HR where you'll be placed during the interview. Also, if your project changes or shifts to a different location, you'll have to deal with location change. Some projects have different internal culture. If you are placed in a project where your clients comes online during your evening hours, you'll probably have to stretch your working hours.",2
"Typical service based culture, client is god No benefits apart from salary.",16
Not too many good projects,2
Yet to explore just started there,27
You need to log 45 hrs a week compulsory even if you are done with your work. Very few projects with excellent tech stack.,36
1. Company uses outdated technology. 2. Not much growth opportunity.,0
Overall Management can be improved a bit,3
No strong downside that I came across.,4
"No onsite opportunity, too much hierarchy",0
I did not found any while I was working in this company,20
"Like every coin has two sides, this one also does. The biggest problem in XP is the amount of favouritism management has to those who is good at bootlicking. They will straight away give power to those who don't even deserve it. This has lead to high attrition rate in last few years and imbalance in talent and majority of folks left are performing same donkey work. Many if leadership folks also left for similar reasons.",2
Not came as of now,4
Low salary hikes. Biased higher management,35
No cons as such I know,22
Less/ no on site opportunity NA,0
"As it is acquired by UST, they are involving in financial matters and hence it's affecting XP employees in terms of hike, bonus etc",32
I have not come across any cons,22
You are asked to work on old technology inspite of your experience. Poor management of resources.,18
"Client first attitude, company second and last the employees attitude is slowly eating up their tag line of having the best ""work life balance"".",13
"No, as of now. Will post if found any.",5
Multiple Locations with small workspaces,16
good company or manual Testing,2
#NAME?,19
Haven't find any till now.,5
"I think there are no cons of working here. I have worked with few companies, out of all i feel this is the best one i worked with till now.",5
No cons . No cons found,22
Not yet found. . .,6
They sometime send you to client location which are worst places. You can be lost,16
not as such . Everything is manageable,6
Some projects have huge politics. Otherwise everything is awesome.,6
"Biased managers , u need to be in good books to make your career here !",14
"No transport, project specific benefits",16
Laptops need for everyone.,36
Nothing I can see yet,27
Yet to experience any cons,27
office is little small as it is in heart of Pune,31
Politics like single led kingdom,18
Lesser flexibility to move in other projects and technologies,23
Nothing to say on this,1
Onsite opportunities are very poor in xpanxion,0
None that I have experienced till date,20
Onsite opportunities are less this is mainly based on the clients that you work with.,0
Nothing much as such. Finding parking space gets challenging at times.,7
No Cons is there at Xpanxion,22
No onsite opportunities No WFH for everyone,0
No cons till now .,22
Still finding ...........! Still finding ...........!,5
If possible choose project carefully,2
Nothing as such. It can be better. But thats my individual thought.,21
Nothing to share as a con,22
"No found any critical comments, few minors ones are some projects are having long work hours and infrastructure can be improved.",20
#NAME?,19
Parking space needs to be larger,7
"I have not encountered anything significant that would be categorized as a ""con""",32
Nothing as cons. Overall good or nice company to work.,3
#NAME?,19
Nothing to mention as such,1
Ensure that your manager and senior members giving your feedback are happy with you.,26
"Nothing as such, but there is always a scope for improvement :)",8
Did not find any till date..,5
I have not faced about any cons yet.,22
"Nothing, everything is good overall.",6
To much politics inside teams,18
Need more publicity of the organization!,36
Transportation facility is not available,9
none that i can think of,29
1. It is not a big issue but you have to maintain 45 hours weekly. 2. No cab facility.,12
Not at this point of time.,10
Havent experienced any till date .,20
Politics. No time for family. Every 6 month you will be tested based on your skills and hike depends on that.,33
as far as now no downsize.,11
1.No work life balance in many projects. 2. Pathetic food in cafeteria. 3. No breakfast and dinner is available. 4. Micromanagement to an extent.,13
"Initially management was good,Managers HR ETC atleast work environment was good but now its just FAKE. HIRE and FIRE ..NO salary Hike..They give you hike of 2% - 3%..Which is negligible. Everybody is playing politics for their own benefit and demotivate you and no chances of growth. Until you are following their rules, they are good and once you ask for something eg.Salary,Project change or any work from home,long leaves etc behaviour will completely change.. When client will escalate you for some reason without your mistake, Management will not support you for sure. Now new management is too bad. Not much learning also.All projects are just going. Complete JOB INSECURITY.",32
trying to grow fast leading to issues,12
"Nothing goes in a planned way, no structure in the org",1
Did not observe till now,5
Hampers your work life balance,13
